"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.lang.String.charAt (int)","176 ms (4.5%)","95.4 ms (7.4%)","506 ms (3.2%)","219 ms (3.2%)","235,372"
"org.springframework.samples.petclinic.owner.PetController.findOwner (int)","78.9 ms (2%)","76.3 ms (5.9%)","148 ms (0.9%)","144 ms (2.1%)","12"
"org.springframework.samples.petclinic.owner.VisitController.loadPetWithVisit (int, int, java.util.Map)","73.9 ms (1.9%)","69.2 ms (5.4%)","164 ms (1%)","153 ms (2.2%)","8"
"java.lang.StringLatin1.charAt (byte[], int)","189 ms (4.9%)","62.7 ms (4.9%)","297 ms (1.9%)","93.6 ms (1.3%)","235,372"
"org.springframework.samples.petclinic.owner.PetController.populatePetTypes ()","69.2 ms (1.8%)","62.5 ms (4.9%)","120 ms (0.8%)","108 ms (1.6%)","12"
"org.springframework.samples.petclinic.owner.OwnerController.findOwner (Integer)","87.7 ms (2.3%)","62.3 ms (4.8%)","121 ms (0.8%)","95.4 ms (1.4%)","23"
"org.springframework.samples.petclinic.owner.PetTypeFormatter.parse (String, java.util.Locale)","46.6 ms (1.2%)","43.5 ms (3.4%)","87.5 ms (0.5%)","84.0 ms (1.2%)","45"
"java.lang.String.isLatin1 ()","39.9 ms (1%)","38.1 ms (3%)","39.9 ms (0.2%)","38.1 ms (0.5%)","274,218"
"org.springframework.samples.petclinic.vet.VetController.findPaginated (int)","1,279 ms (33%)","35.1 ms (2.7%)","1,823 ms (11.4%)","344 ms (4.9%)","2"
"org.springframework.samples.petclinic.owner.OwnerController.findPaginatedForOwnersLastName (int, String)","486 ms (12.5%)","34.1 ms (2.6%)","943 ms (5.9%)","182 ms (2.6%)","5"
"java.lang.String.length ()","60.1 ms (1.5%)","33.0 ms (2.6%)","78.3 ms (0.5%)","49.7 ms (0.7%)","119,651"
"java.lang.String.checkIndex (int, int)","109 ms (2.8%)","32.9 ms (2.6%)","110 ms (0.7%)","33.1 ms (0.5%)","239,805"
"java.util.ArrayList$Itr.next ()","32.6 ms (0.8%)","29.4 ms (2.3%)","47.5 ms (0.3%)","43.8 ms (0.6%)","26,688"
"java.lang.String.coder ()","25.7 ms (0.7%)","24.3 ms (1.9%)","25.7 ms (0.2%)","24.3 ms (0.3%)","167,362"
"java.util.ArrayList$Itr.hasNext ()","20.3 ms (0.5%)","19.7 ms (1.5%)","20.3 ms (0.1%)","19.7 ms (0.3%)","36,098"
"java.net.URL.openConnection ()","29.9 ms (0.8%)","19.3 ms (1.5%)","322 ms (2%)","137 ms (2%)","1,123"
"jdk.internal.loader.URLClassPath$Loader.getResource (String, boolean)","19.1 ms (0.5%)","17.1 ms (1.3%)","610 ms (3.8%)","325 ms (4.7%)","1,078"
